"","sub_id","common_name","sci_name","tax_order","count_raw","state","county","loc","locid","lat","lon","date","time","protocol","distance_traveled","area_covered","all_obs","breed_code","checklist_comments","observers","vehicles","weather","notes","count","year","mbbs_county","route_num","stop_num","hab_hm","hab_p","hab_o","hab_b","hab_other","source"
"36","S46311623","Canada Goose","Branta canadensis",303,"4","US-NC","Orange","MBBS, NC, Orange Co, Route 4, Town Hall","L970649",36.08286,-79.09942,2018-06-03,"05:31 AM","eBird - Traveling Count",16.093,NA,1,"","observers&#61;Allen Hurlbert, Grace Di Cecco, Allison Duprey; weather&#61;60 F, mostly clear; vehicles&#61;32; habitat&#61;1B,H, 2B,B, 3H,H, 4B,B, 5P,O, 6O,O, 7P,B, 8P,B, 9B,B, 10M,W, 11O,M, 12M,B, 13B,M, 14M,M, 15M,B, 16B,B, 17M,O, 18H,H, 19M,M, 20M,B","Allen Hurlbert, Grace Di Cecco, Allison Duprey",32,"60 F, mostly clear",NA,4,2018,"orange",4,NA,NA,NA,NA,NA,NA,NA
"37","S56754478","Canada Goose","Branta canadensis",303,"9","US-NC","Orange","MBBS, NC, Orange Co, Route 4, Town Hall","L970649",36.08286,-79.09942,2019-05-26,"05:30 AM","eBird - Traveling Count",15.289,NA,1,"","observers&#61;Allen Hurlbert, Sarah Pollack; weather&#61;70 F, clear; vehicles&#61;30; habitat&#61;1B,H, 2B,B, 3H,H, 4B,B, 5P,O, 6O,O, 7P,B, 8P,B, 9B,B, 10M,W, 11O,M, 12M,B, 13B,M, 14M,M, 15M,B, 16B,B, 17M,O, 18H,H, 19M,M, 20M,B","Allen Hurlbert, Sarah Pollack",30,"70 F, clear",NA,9,2019,"orange",4,NA,NA,NA,NA,NA,NA,NA
"38","S112251508","Canada Goose","Branta canadensis",303,"2","US-NC","Orange","MBBS, NC, Orange Co, Route 4-18","L11590038",36.013561,-79.001183,2022-06-05,"07:45 AM","eBird - Stationary Count",NA,NA,1,"","V=1",NA,NA,NA,NA,2,2022,"orange",4,18,NA,NA,NA,NA,NA,NA
"39","S69896696","Canada Goose","Branta canadensis",303,"2","US-NC","Orange","MBBS, NC, Orange Co, Route 4-20","L11590101",36.005137,-78.991717,2020-05-31,"07:32 AM","eBird - Stationary Count",NA,NA,1,"","v=1",NA,NA,NA,NA,2,2020,"orange",4,20,NA,NA,NA,NA,NA,NA
"40","S112251506","Canada Goose","Branta canadensis",303,"2","US-NC","Orange","MBBS, NC, Orange Co, Route 4-20","L11590101",36.005137,-78.991717,2022-06-05,"07:59 AM","eBird - Stationary Count",NA,NA,1,"","V=0",NA,NA,NA,NA,2,2022,"orange",4,20,NA,NA,NA,NA,NA,NA
"41","S8877600","Canada Goose","Branta canadensis",303,"3","US-NC","Orange","MBBS, NC, Orange Co, Route 5, Arthur Minnis","L970660",35.99296,-79.14982,2011-06-25,"05:32 AM","eBird - Traveling Count",15.289,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;Will Cook, Catherine Carter; weather&#61;?; vehicles&#61; 3","Will Cook, Catherine Carter",NA,NA,NA,3,2011,"orange",5,NA,NA,NA,NA,NA,NA,NA
"42","S111772182","Canada Goose","Branta canadensis",303,"40","US-NC","Orange","MBBS, Orange Co, Route 1-6","L11533257",36.2168212,-79.1793409,2022-05-30,"06:06 AM","eBird - Stationary Count",NA,NA,1,"","vehicles=3; habitat=B,O",NA,NA,NA,NA,40,2022,"orange",1,6,NA,NA,NA,NA,NA,NA
"43","S88387953","Canada Goose","Branta canadensis",303,"1","US-NC","Orange","MBBS, Orange, 8,Stop 13","L14960127",36.189208,-79.0449701,2021-05-16,"06:59 AM","eBird - Stationary Count",NA,NA,1,"","",NA,NA,NA,NA,1,2021,"orange",8,13,NA,NA,NA,NA,NA,NA
"44","S89419034","Canada Goose","Branta canadensis",303,"13","US-NC","Orange","MBBS, Orange, Route 10-17","L15198246",36.0974041,-79.0538135,2021-06-01,"07:30 AM","eBird - Stationary Count",NA,NA,1,"","“observers=Vern Bothwell; weather 52 F, clear; Notes=none; vehicles=5; habitat=O,O”",NA,NA,NA,NA,13,2021,"orange",10,17,NA,NA,NA,NA,NA,NA
"45","S6552240","Wood Duck","Aix sponsa",406,"0","US-NC","Orange","MBBS, NC, Orange Co, Route 01, Wade Loop","L931859",36.23185,-79.20792,2010-06-17,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;N. Budnitz, M. Schultz; weather&#61;clear, 70F, wind calm, no rain; vehicles&#61;80",NA,NA,"clear, 70F, wind calm, no rain",NA,0,2010,"orange",1,NA,NA,NA,NA,NA,NA,NA
"46","S8347869","Wood Duck","Aix sponsa",406,"2","US-NC","Orange","MBBS, NC, Orange Co, Route 01, Wade Loop","L931859",36.23185,-79.20792,2011-05-22,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","observers=Norm Budnitz, Mike Schultz; weather=70F-78F, sky clear, wind calm; vehicles=25; habitat@4R=B; habitat@5L=B; habitat@8L=BO; habitat@8R=BOW",NA,NA,NA,NA,2,2011,"orange",1,NA,NA,NA,NA,NA,NA,NA
"47","S6641285","Wood Duck","Aix sponsa",406,"0","US-NC","Orange","MBBS, NC, Orange Co, Route 02, Schley Road","L960634",36.1625476,-79.0965414,2010-05-29,"05:30 AM","eBird - Traveling Count",16.093,NA,1,"","Mini Breeding Bird Survey, Orange Co, NC (3 min counts, radius 0.25 miles, 0.5 miles apart, total counts 20); observers&#61;B. BROOKS; weather&#61;fog, cloudy, 65F; vehicles&#61;6; notes&#61;nothing unusual",NA,6,"fog, cloudy, 65F",NA,0,2010,"orange",2,NA,NA,NA,NA,NA,NA,NA
"48","S23810138","Wood Duck","Aix sponsa",406,"2","US-NC","Orange","MBBS, NC, Orange Co, Route 03, Harmony Church Road","L960637",36.11949,-79.17658,2015-06-07,"05:25 AM","eBird - Traveling Count",16.093,NA,1,"","observer&#61;Barb Brooks; weather&#61;60's clear; vehicles&#61;32; habitat@1R&#61;B; notes&#61;saw sparrow on wire but could not hear it. listed under passerines.","Barb Brooks",32,NA,NA,2,2015,"orange",3,NA,NA,NA,NA,NA,NA,NA
