"","date","time","observers","count","year","route_num","hab_hm","hab_p","hab_o","hab_b","hab_other","vehicles","common_name","spec_code","sci_name","tax_order","lat","lon","route","source","obs_id","sub_id","distance","all_obs","breed_code","species_comment","weather","notes","others"
"47",1999-05-23,"5:30 EDT","Barb Brooks",17,1999,"2",NA,NA,NA,NA,NA,NA,"Mourning Dove","MODO","Zenaida macroura",2323,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",1999-05-23,"5:30 EDT","Barb Brooks",7,1999,"2",NA,NA,NA,NA,NA,NA,"Chimney Swift","CHSW","Chaetura pelagica",3741,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",1999-05-23,"5:30 EDT","Barb Brooks",7,1999,"2",NA,NA,NA,NA,NA,NA,"Red-bellied Woodpecker","RBWO","Melanerpes carolinus",10555,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",1999-05-23,"5:30 EDT","Barb Brooks",1,1999,"2",NA,NA,NA,NA,NA,NA,"Downy Woodpecker","DOWO","Dryobates pubescens",10740,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",1999-05-23,"5:30 EDT","Barb Brooks",2,1999,"2",NA,NA,NA,NA,NA,NA,"Hairy Woodpecker","HAWO","Dryobates villosus",10766,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",1999-05-23,"5:30 EDT","Barb Brooks",2,1999,"2",NA,NA,NA,NA,NA,NA,"Eastern Wood-Pewee","EAWP","Contopus virens",15624,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",1999-05-23,"5:30 EDT","Barb Brooks",5,1999,"2",NA,NA,NA,NA,NA,NA,"Eastern Phoebe","EAPH","Sayornis phoebe",15722,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",1999-05-23,"5:30 EDT","Barb Brooks",2,1999,"2",NA,NA,NA,NA,NA,NA,"Great Crested Flycatcher","GCFL","Myiarchus crinitus",16036,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",1999-05-23,"5:30 EDT","Barb Brooks",7,1999,"2",NA,NA,NA,NA,NA,NA,"Red-eyed Vireo","REVI","Vireo olivaceus",19232,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1999-05-23,"5:30 EDT","Barb Brooks",1,1999,"2",NA,NA,NA,NA,NA,NA,"Blue Jay","BLJA","Cyanocitta cristata",20207,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1999-05-23,"5:30 EDT","Barb Brooks",2,1999,"2",NA,NA,NA,NA,NA,NA,"Barn Swallow","BARS","Hirundo rustica",21491,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",1999-05-23,"5:30 EDT","Barb Brooks",5,1999,"2",NA,NA,NA,NA,NA,NA,"Carolina Chickadee","CACH","Poecile carolinensis",21801,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",1999-05-23,"5:30 EDT","Barb Brooks",14,1999,"2",NA,NA,NA,NA,NA,NA,"Tufted Titmouse","TUTI","Baeolophus bicolor",21896,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",1999-05-23,"5:30 EDT","Barb Brooks",2,1999,"2",NA,NA,NA,NA,NA,NA,"Carolina Wren","CARW","Thryothorus ludovicianus",22486,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",1999-05-23,"5:30 EDT","Barb Brooks",8,1999,"2",NA,NA,NA,NA,NA,NA,"Blue-gray Gnatcatcher","BGGN","Polioptila caerulea",22806,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",1999-05-23,"5:30 EDT","Barb Brooks",6,1999,"2",NA,NA,NA,NA,NA,NA,"Eastern Bluebird","EABL","Sialia sialis",27571,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1999-05-23,"5:30 EDT","Barb Brooks",6,1999,"2",NA,NA,NA,NA,NA,NA,"Wood Thrush","WOTH","Hylocichla mustelina",27787,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",1999-05-23,"5:30 EDT","Barb Brooks",6,1999,"2",NA,NA,NA,NA,NA,NA,"American Robin","AMRO","Turdus migratorius",27999,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1999-05-23,"5:30 EDT","Barb Brooks",5,1999,"2",NA,NA,NA,NA,NA,NA,"Northern Mockingbird","NOMO","Mimus polyglottos",28303,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",1999-05-23,"5:30 EDT","Barb Brooks",6,1999,"2",NA,NA,NA,NA,NA,NA,"European Starling","EUST","Sturnus vulgaris",28432,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",1999-05-23,"5:30 EDT","Barb Brooks",2,1999,"2",NA,NA,NA,NA,NA,NA,"Yellow-throated Warbler","YTWA","Setophaga dominica",31822,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",1999-05-23,"5:30 EDT","Barb Brooks",NA,1999,"2",NA,NA,NA,NA,NA,NA,"Pine Warbler","PIWA","Setophaga pinus",31809,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",1999-05-23,"5:30 EDT","Barb Brooks",2,1999,"2",NA,NA,NA,NA,NA,NA,"Common Yellowthroat","COYE","Geothlypis trichas",31702,36.1625476,-79.0965414,"Route 02, Schley Road","mbbs_site",NA,NA,NA,NA,NA,NA,NA,NA,NA
