route,date,time,observers,spec_code,common_name,count,year,route_num,hab_hm,hab_p,hab_o,hab_b,hab_other,vehicles,notes
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,CARW,Carolina Wren,8,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,BGGN,B-g Gnatcatcher,3,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,EABL,E Bluebird,3,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,WOTH,Wood Thrush,1,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,AMRO,Am Robin,28,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,GRCA,Gray Catbird,6,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,NOMO,N Mockingbird,19,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,EUST,Eur Starling,10,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,YTWA,Yellow-throated Warbler,1,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,PIWA,Pine Warbler,3,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,HOWA,Hooded Warbler,1,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,SCTA,Scarlet Tanager,1,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,EATO,E Towhee,13,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,CHSP,Chipping Sparrow,4,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,SOSP,Song Sparrow,2,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,NOCA,N Cardinal,29,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,INBU,Indigo Bunting,1,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,COGR,Com Grackle,32,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,BHCO,Brown-headed Cowbird,2,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,HOFI,House Finch,5,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,AMGO,Am Goldfinch,8,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/2/2002,5:30,Carol Williamson and Norm Budnitz,HOSP,House Sparrow,1,2002,3,,,,,,,Common Nighthawk is a new species for the MBBS!   Note the Gray Catbirds and Song Sparrows in Durham.   Catbirds are apparently a town bird in this area.
,6/11/2002,5:30,Jeff Pippen and Julie Rice,GBHE,Great Blue Heron,2,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,MALL,Mallard,3,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,RSHA,Red-shouldered Hawk,1,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,KILL,Killdeer,1,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,MODO,Mourning Dove,11,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,CHSW,Chimney Swift,3,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,RTHU,Ruby-thr Hummingbird,3,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,RHWO,Red-headed Woodpecker,1,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,RBWO,Red-bellied Woodpecker,3,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,DOWO,Downy Woodpecker,2,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,EAWP,E Wood-Pewee,4,2002,4,,,,,,,
,6/11/2002,5:30,Jeff Pippen and Julie Rice,ACFL,Acadian Flycatcher,1,2002,4,,,,,,,
